txn_id,store_id,amount,discount,tax,net_amount,txn_date,payment_method
TXN001,S01,1250.00,125.00,112.50,1237.50,2024-03-01,card
TXN002,S02,340.50,0.00,30.65,371.15,2024-03-01,cash
TXN003,S01,875.00,87.50,78.75,866.25,2024-03-01,upi
TXN004,S03,2100.00,210.00,189.00,2079.00,2024-03-01,card
TXN005,S02,560.00,56.00,50.40,554.40,2024-03-01,upi
TXN006,S04,125.00,0.00,11.25,136.25,2024-03-01,cash
TXN007,S01,3200.00,320.00,288.00,3168.00,2024-03-01,card
TXN008,S03,445.00,44.50,40.05,440.55,2024-03-01,upi
TXN009,S04,780.00,0.00,70.20,850.20,2024-03-01,card
TXN010,S02,1650.00,165.00,148.50,1633.50,2024-03-01,upi
TXN011,S01,290.00,29.00,26.10,287.10,2024-03-02,cash
TXN012,S03,4500.00,450.00,405.00,4455.00,2024-03-02,card
