order_id,customer_id,product_id,quantity,unit_price,order_date,status
ORD001,C001,P001,2,29.99,2024-01-15,completed
ORD002,C002,P003,1,49.99,2024-01-16,completed
ORD003,C001,P002,3,15.50,2024-01-17,pending
ORD004,C003,P005,1,199.99,2024-01-18,completed
ORD005,C004,P001,5,29.99,2024-01-19,cancelled
ORD006,C002,P004,2,75.00,2024-01-20,completed
ORD007,C005,P002,1,15.50,2024-01-21,completed
ORD008,C003,P003,4,49.99,2024-01-22,pending
ORD009,C006,P001,2,29.99,2024-01-23,completed
ORD010,C007,P005,1,199.99,2024-01-24,completed
ORD011,C001,P004,1,75.00,2024-01-25,completed
ORD012,C008,P002,6,15.50,2024-01-26,pending
ORD013,C004,P003,2,49.99,2024-01-27,completed
ORD014,C009,P001,3,29.99,2024-01-28,cancelled
ORD015,C005,P005,1,199.99,2024-01-29,completed
ORD016,C010,P004,2,75.00,2024-01-30,completed
ORD017,C006,P002,4,15.50,2024-01-31,completed
ORD018,C002,P001,1,29.99,2024-02-01,pending
ORD019,C007,P003,3,49.99,2024-02-02,completed
ORD020,C003,P004,1,75.00,2024-02-03,completed
ORD021,C008,P005,2,199.99,2024-02-04,completed
ORD022,C001,P002,5,15.50,2024-02-05,cancelled
ORD023,C009,P001,2,29.99,2024-02-06,completed
ORD024,C010,P003,1,49.99,2024-02-07,completed
ORD025,C004,P004,3,75.00,2024-02-08,pending
ORD026,C005,P002,2,15.50,2024-02-09,completed
ORD027,C006,P005,1,199.99,2024-02-10,completed
ORD028,C007,P001,4,29.99,2024-02-11,completed
ORD029,C002,P004,1,75.00,2024-02-12,completed
ORD030,C003,P003,2,49.99,2024-02-13,pending
